ID,상호명,업종,주소,구,동,지역권,메인메뉴,가격_원,주차유형,혼밥,2~4인,가족식사,단체수용,리뷰요약,추천태그,신뢰도,챗봇추천문장
11,우정식당,국밥,전북특별자치도 전주시 완산구 전동3가 2-118 남부시장,완산구,전동3가,한옥마을·남부시장권,대표 국밥,10000,남부시장 천변주차장,추천,추천,가능,제한적,남부시장 내 국밥집으로 시장 주차장을 활용할 수 있으나 최신 가격과 좌석 규모는 재확인이 필요함.,혼밥|주차대안,C,"우정식당은(는) 한옥마을·남부시장권에 있는 국밥 식당입니다. 대표 메뉴는 대표 국밥이고 가격은 9,000~12,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 남부시장 천변주차장입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 남부시장 내 국밥집으로 시장 주차장을 활용할 수 있으나 최신 가격과 좌석 규모는 재확인이 필요함."
12,허가낸닭발,닭발,전북특별자치도 전주시 완산구 풍남동1가 17-1 허가낸닭발,완산구,풍남동1가,한옥마을·남부시장권,닭발,23000,없음,비추천,추천,비추천,가능,닭발·꼼장어를 찾는 술자리 방문 후기가 있으며 혼밥·가족식사보다는 2~4인 술자리에 적합함.,주차대안|술자리,C,"허가낸닭발은(는) 한옥마을·남부시장권에 있는 닭발 식당입니다. 대표 메뉴는 닭발이고 가격은 18,000~28,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 닭발·꼼장어를 찾는 술자리 방문 후기가 있으며 혼밥·가족식사보다는 2~4인 술자리에 적합함."
13,해태바베큐,"치킨,닭강정",전북특별자치도 전주시 완산구 경원동2가 7-6,완산구,경원동2가,한옥마을·남부시장권,바베큐치킨 한 마리,24000,전용 없음·인근 공영주차장,비추천,추천,가능,가능,단일 바베큐치킨 메뉴 중심의 노포형 매장이다. 전용주차장은 없고 객사권 공영주차장 이용이 필요하다.,,A,"해태바베큐은(는) 한옥마을·남부시장권에 있는 치킨,닭강정 식당입니다. 대표 메뉴는 바베큐치킨 한 마리이고 가격은 24,000원. 주차는 전용 없음·인근 공영주차장입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 단일 바베큐치킨 메뉴 중심의 노포형 매장이다. 전용주차장은 없고 객사권 공영주차장 이용이 필요하다."
14,전주왱이콩나물국밥전문점,국밥,전북특별자치도 전주시 완산구 경원동2가 12-1,완산구,경원동2가,한옥마을·남부시장권,전주왱이국밥,9000,건물 뒤 전용주차장,추천,추천,추천,가능,수란이 함께 나오는 전주식 콩나물국밥으로 혼밥과 가족 아침식사 모두 적합하다. 건물 뒤 전용주차장 후기가 확인됨.,혼밥|가족식사|주차대안,A,"전주왱이콩나물국밥전문점은(는) 한옥마을·남부시장권에 있는 국밥 식당입니다. 대표 메뉴는 전주왱이국밥이고 가격은 9,000원. 주차는 건물 뒤 전용주차장입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 수란이 함께 나오는 전주식 콩나물국밥으로 혼밥과 가족 아침식사 모두 적합하다. 건물 뒤 전용주차장 후기가 확인됨."
15,영동슈퍼닭발 본점,"맥주,호프",전북특별자치도 전주시 완산구 경원동3가 15-6,완산구,경원동3가,객사·객리단길권,슈퍼닭발,23000,없음,비추천,추천,비추천,가능,닭발과 치킨류를 함께 먹는 가맥·호프 분위기로 술자리와 모임에 적합한 편.,술자리,C,"영동슈퍼닭발 본점은(는) 객사·객리단길권에 있는 맥주,호프 식당입니다. 대표 메뉴는 슈퍼닭발이고 가격은 18,000~28,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 닭발과 치킨류를 함께 먹는 가맥·호프 분위기로 술자리와 모임에 적합한 편."
16,진미반점,중식당,전북특별자치도 전주시 완산구 중앙동2가 44-1,완산구,중앙동2가,객사·객리단길권,해물물짜장,10000,매장 앞 일부 가능,추천,추천,추천,가능,해물물짜장이 대표적으로 언급되며 매장 앞 주차 후기가 있다. 중식 특성상 혼밥부터 가족식사까지 폭넓게 이용 가능.,혼밥|가족식사,B,"진미반점은(는) 객사·객리단길권에 있는 중식당 식당입니다. 대표 메뉴는 해물물짜장이고 가격은 10,000원. 주차는 매장 앞 일부 가능입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 해물물짜장이 대표적으로 언급되며 매장 앞 주차 후기가 있다. 중식 특성상 혼밥부터 가족식사까지 폭넓게 이용 가능."
17,다이닝스푼,이탈리아음식,전북특별자치도 전주시 완산구 고사동 238 1층,완산구,고사동,객사·객리단길권,파스타,18000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"다이닝스푼은(는) 객사·객리단길권에 있는 이탈리아음식 식당입니다. 대표 메뉴는 파스타이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
18,가마,양식,전북특별자치도 전주시 완산구 고사동 172-1 2층 가마,완산구,고사동,객사·객리단길권,화덕피자·파스타 중 대표 메뉴,18000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"가마은(는) 객사·객리단길권에 있는 양식 식당입니다. 대표 메뉴는 화덕피자·파스타 중 대표 메뉴이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
19,동락,일식당,전북특별자치도 전주시 완산구 중앙동3가 88-1 동락,완산구,중앙동3가,객사·객리단길권,대표 일식 정식,20000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"동락은(는) 객사·객리단길권에 있는 일식당 식당입니다. 대표 메뉴는 대표 일식 정식이고 가격은 15,000~26,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
20,지복점,한식,전북특별자치도 전주시 완산구 전동3가 61 1층,완산구,전동3가,한옥마을·남부시장권,숯불함박,15000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"지복점은(는) 한옥마을·남부시장권에 있는 한식 식당입니다. 대표 메뉴는 숯불함박이고 가격은 12,000~18,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
21,대보장,중식당,전북특별자치도 전주시 완산구 중앙동4가 16-1,완산구,중앙동4가,객사·객리단길권,물짜장,10000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"대보장은(는) 객사·객리단길권에 있는 중식당 식당입니다. 대표 메뉴는 물짜장이고 가격은 8,000~13,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
22,또순이네집,한식,전북특별자치도 전주시 완산구 고사동 443-6,완산구,고사동,객사·객리단길권,대표 한식 메뉴,12000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"또순이네집은(는) 객사·객리단길권에 있는 한식 식당입니다. 대표 메뉴는 대표 한식 메뉴이고 가격은 9,000~16,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
23,효자수산,요리주점,전북특별자치도 전주시 완산구 중앙동1가 31-1 1층 효자수산,완산구,중앙동1가,객사·객리단길권,광어·연어 모둠회,45000,없음,비추천,추천,제한적,가능,복고풍 해산물 요리주점으로 회·초밥밥·안주 구성이 언급된다. 가족식사보다는 친구 모임·술자리에 적합함.,술자리,C,"효자수산은(는) 객사·객리단길권에 있는 요리주점 식당입니다. 대표 메뉴는 광어·연어 모둠회이고 가격은 30,000~60,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 제한적, 단체 이용은 가능입니다. 복고풍 해산물 요리주점으로 회·초밥밥·안주 구성이 언급된다. 가족식사보다는 친구 모임·술자리에 적합함."
24,작은바닷고기,이자카야,전북특별자치도 전주시 완산구 다가동1가 52-1 1층 작은바닷고기,완산구,다가동1가,객사·객리단길권,오늘의 사시미,8000,없음,비추천,추천,비추천,제한적,오늘의 사시미와 명란감자구이 등 작은 접시 안주가 저렴하다는 후기가 있다. 소규모 2~4인 술자리에 적합함.,술자리,B,"작은바닷고기은(는) 객사·객리단길권에 있는 이자카야 식당입니다. 대표 메뉴는 오늘의 사시미이고 가격은 7,000원~1만원대 안주. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 제한적입니다. 오늘의 사시미와 명란감자구이 등 작은 접시 안주가 저렴하다는 후기가 있다. 소규모 2~4인 술자리에 적합함."
25,도파멘,일본식라면,전북특별자치도 전주시 완산구 다가동1가 8 1층,완산구,다가동1가,객사·객리단길권,시오친탄 라멘,12000,인근 시청·공영주차장,추천,추천,가능,비추천,"라멘과 무료밥, 굴튀김 조합 후기가 있으며 객사권 공영주차장을 이용하는 편이 적절하다. 혼밥에 유리함.",혼밥|주차대안,B,"도파멘은(는) 객사·객리단길권에 있는 일본식라면 식당입니다. 대표 메뉴는 시오친탄 라멘이고 가격은 10,000~14,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 인근 시청·공영주차장입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 비추천입니다. 라멘과 무료밥, 굴튀김 조합 후기가 있으며 객사권 공영주차장을 이용하는 편이 적절하다. 혼밥에 유리함."
26,꽃,요리주점,전북특별자치도 전주시 완산구 중앙동1가 51,완산구,중앙동1가,객사·객리단길권,대표 요리주점 안주,22000,없음,비추천,추천,비추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,술자리,D,"꽃은(는) 객사·객리단길권에 있는 요리주점 식당입니다. 대표 메뉴는 대표 요리주점 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
27,효자막창 객사본점,"곱창,막창,양",전북특별자치도 전주시 완산구 다가동3가 23-3 1층 효자막창,완산구,다가동3가,객사·객리단길권,한우곱창구이,18000,인근 유료주차 1시간 지원 후기,비추천,추천,가능,추천,곱창·막창 중심으로 모임과 회식 이용 후기가 확인된다. 인근 유료주차장 1시간 지원 후기가 있으나 방문 전 확인 권장.,단체모임|주차대안,B,"효자막창 객사본점은(는) 객사·객리단길권에 있는 곱창,막창,양 식당입니다. 대표 메뉴는 한우곱창구이이고 가격은 18,000원. 주차는 인근 유료주차 1시간 지원 후기입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 추천입니다. 곱창·막창 중심으로 모임과 회식 이용 후기가 확인된다. 인근 유료주차장 1시간 지원 후기가 있으나 방문 전 확인 권장."
28,화녕 객리단길본점,요리주점,전북특별자치도 전주시 완산구 다가동3가 53-3 1층 화녕,완산구,다가동3가,객사·객리단길권,매운 양푼갈비찜,28000,없음,비추천,추천,가능,가능,매운 갈비찜과 보쌈 세트가 언급되며 2~4인 식사·술자리에 적합하다. 매운맛 때문에 어린이 동반은 메뉴 선택이 필요함.,술자리,B,"화녕 객리단길본점은(는) 객사·객리단길권에 있는 요리주점 식당입니다. 대표 메뉴는 매운 양푼갈비찜이고 가격은 28,000원. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 매운 갈비찜과 보쌈 세트가 언급되며 2~4인 식사·술자리에 적합하다. 매운맛 때문에 어린이 동반은 메뉴 선택이 필요함."
29,프프프,아시아음식,전북특별자치도 전주시 완산구 고사동 473-9 1층,완산구,고사동,객사·객리단길권,아시아 퓨전 요리,18000,없음,가능,추천,가능,미확인,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,,D,"프프프은(는) 객사·객리단길권에 있는 아시아음식 식당입니다. 대표 메뉴는 아시아 퓨전 요리이고 가격은 13,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 미확인입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
30,다가생구이 본점,"육류,고기요리",전북특별자치도 전주시 완산구 고사동 462-9,완산구,고사동,객사·객리단길권,생고기구이,18000,인근 공영주차장·1시간권 후기,비추천,추천,추천,가능,고기구이 모임형 매장으로 인근 공영주차장 이용 및 주차권 제공 후기가 있다.,가족식사|주차대안,B,"다가생구이 본점은(는) 객사·객리단길권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 생고기구이이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 인근 공영주차장·1시간권 후기입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 고기구이 모임형 매장으로 인근 공영주차장 이용 및 주차권 제공 후기가 있다."
31,몽유도 전주본점,"육류,고기요리",전북특별자치도 전주시 완산구 다가동3가 6-1,완산구,다가동3가,객사·객리단길권,고기구이,18000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"몽유도 전주본점은(는) 객사·객리단길권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 고기구이이고 가격은 14,000~22,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
32,어시장,생선회,전북특별자치도 전주시 완산구 다가동3가 53-5 1층,완산구,다가동3가,객사·객리단길권,숙성 모둠회,45000,없음,비추천,추천,제한적,비추천,숙성회로 인기가 높지만 공간이 좁고 대기·소음 후기가 있어 2~4인 방문에 더 적합하다.,,B,"어시장은(는) 객사·객리단길권에 있는 생선회 식당입니다. 대표 메뉴는 숙성 모둠회이고 가격은 30,000~60,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 제한적, 단체 이용은 비추천입니다. 숙성회로 인기가 높지만 공간이 좁고 대기·소음 후기가 있어 2~4인 방문에 더 적합하다."
33,초로초로,이자카야,전북특별자치도 전주시 완산구 다가동4가 55-6 1층,완산구,다가동4가,객사·객리단길권,소접시 이자카야 안주,22000,없음,비추천,추천,비추천,비추천,저렴한 소접시 안주를 즐기는 2·3차용 이자카야로 공간이 좁아 단체에는 부적합하다는 후기가 있다.,술자리,B,"초로초로은(는) 객사·객리단길권에 있는 이자카야 식당입니다. 대표 메뉴는 소접시 이자카야 안주이고 가격은 15,000~30,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 비추천, 단체 이용은 비추천입니다. 저렴한 소접시 안주를 즐기는 2·3차용 이자카야로 공간이 좁아 단체에는 부적합하다는 후기가 있다."
34,오원집 본점,"육류,고기요리",전북특별자치도 전주시 완산구 태평동 10-9,완산구,태평동,객사·객리단길권,연탄불고기,12000,없음,가능,추천,가능,가능,연탄불고기가 대표인 전주 노포형 식당으로 식사와 술자리를 함께 하기 좋다.,,B,"오원집 본점은(는) 객사·객리단길권에 있는 육류,고기요리 식당입니다. 대표 메뉴는 연탄불고기이고 가격은 12,000원. 주차는 없음입니다. 혼밥은 가능, 2~4인은 추천, 가족식사는 가능, 단체 이용은 가능입니다. 연탄불고기가 대표인 전주 노포형 식당으로 식사와 술자리를 함께 하기 좋다."
35,전주예산집아구탕,"아귀찜,해물찜",전북특별자치도 전주시 완산구 서노송동 686-4 전주예산집아구탕,완산구,서노송동,객사·객리단길권,아구탕,45000,없음,비추천,추천,추천,가능,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,가족식사,D,"전주예산집아구탕은(는) 객사·객리단길권에 있는 아귀찜,해물찜 식당입니다. 대표 메뉴는 아구탕이고 가격은 35,000~55,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 비추천, 2~4인은 추천, 가족식사는 추천, 단체 이용은 가능입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
36,양평해장국 본점,해장국,전북특별자치도 전주시 덕진구 진북동 991-2,덕진구,진북동,진북동권,양평해장국,10000,없음,추천,추천,가능,제한적,온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함.,혼밥,D,"양평해장국 본점은(는) 진북동권에 있는 해장국 식당입니다. 대표 메뉴는 양평해장국이고 가격은 9,000~12,000원(추정)이며 실제 메뉴판과 다를 수 있습니다. 주차는 없음입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 온라인에서 신뢰할 만한 최신 상세 리뷰를 충분히 확인하지 못해 업종 특성 중심으로 분류함."
37,카츠모리조,돈가스,전북특별자치도 전주시 완산구 중화산동2가 24-15 2층,완산구,중화산동2가,중화산동권,특로스카츠,12000,인근 공영·노상주차,추천,추천,가능,제한적,프리미엄 돈카츠로 혼밥과 2~4인 식사에 적합하며 식사시간 대기 후기가 있다. 주차는 인근 공영·노상 공간을 활용.,혼밥|주차대안,B,"카츠모리조은(는) 중화산동권에 있는 돈가스 식당입니다. 대표 메뉴는 특로스카츠이고 가격은 12,000원. 주차는 인근 공영·노상주차입니다. 혼밥은 추천, 2~4인은 추천, 가족식사는 가능, 단체 이용은 제한적입니다. 프리미엄 돈카츠로 혼밥과 2~4인 식사에 적합하며 식사시간 대기 후기가 있다. 주차는 인근 공영·노상 공간을 활용."
